header	segment	source	accession	strain	subtype	date	host_species	host	colourName
blasthit|EPI_ISL_99294|A/mallard/Alberta/246/2006|A_/_H4N6|2006-08-09	seg1	blasthit	EPI_ISL_99294	A/mallard/Alberta/246/2006	H4N6	2006-08-09	mallard	anseriformes	red2
blasthit|EPI_ISL_99283|A/mallard/Alberta/106/2007|A|2007-08-22	seg1	blasthit	EPI_ISL_99283	A/mallard/Alberta/106/2007	A	2007-08-22	mallard	anseriformes	red2
blasthit|EPI_ISL_99280|A/mallard/Alberta/114/2007|A_/_H4N6|2007-08-22	seg1	blasthit	EPI_ISL_99280	A/mallard/Alberta/114/2007	H4N6	2007-08-22	mallard	anseriformes	red2
blasthit|EPI_ISL_99255|A/mallard/Alberta/121/2008|A_/_H4N6|2008-08-06	seg1	blasthit	EPI_ISL_99255	A/mallard/Alberta/121/2008	H4N6	2008-08-06	mallard	anseriformes	red2
blasthit|EPI_ISL_99254|A/mallard/Alberta/270/2008|A_/_H4N6|2008-08-07	seg1	blasthit	EPI_ISL_99254	A/mallard/Alberta/270/2008	H4N6	2008-08-07	mallard	anseriformes	red2
blasthit|EPI_ISL_99505|A/mallard/Alberta/112/2007|A|2007-08-22	seg1	blasthit	EPI_ISL_99505	A/mallard/Alberta/112/2007	A	2007-08-22	mallard	anseriformes	red2
blasthit|EPI_ISL_99293|A/mallard/Alberta/254/2006|A_/_H4N6|2006-08-09	seg1	blasthit	EPI_ISL_99293	A/mallard/Alberta/254/2006	H4N6	2006-08-09	mallard	anseriformes	red2
blasthit|EPI_ISL_99282|A/mallard/Alberta/107/2007|A_/_H3N8|2007-08-22	seg1	blasthit	EPI_ISL_99282	A/mallard/Alberta/107/2007	H3N8	2007-08-22	mallard	anseriformes	red2
blasthit|EPI_ISL_99278|A/mallard/Alberta/116/2007|A_/_H3N8|2007-08-22	seg1	blasthit	EPI_ISL_99278	A/mallard/Alberta/116/2007	H3N8	2007-08-22	mallard	anseriformes	red2
blasthit|EPI_ISL_99277|A/mallard/Alberta/122/2007|A_/_H3N8|2007-08-22	seg1	blasthit	EPI_ISL_99277	A/mallard/Alberta/122/2007	H3N8	2007-08-22	mallard	anseriformes	red2
blasthit|EPI_ISL_99276|A/unknown/Alberta/126/2007|A_/_H3N8|2007-08-22	seg1	blasthit	EPI_ISL_99276	A/unknown/Alberta/126/2007	H3N8	2007-08-22	unknown	other/unknown avian	gray
blasthit|EPI_ISL_99275|A/mallard/Alberta/130/2007|A_/_H3N8|2007-08-22	seg1	blasthit	EPI_ISL_99275	A/mallard/Alberta/130/2007	H3N8	2007-08-22	mallard	anseriformes	red2
blasthit|EPI_ISL_99270|A/mallard/Alberta/160/2007|A_/_H4N6|2007-08-22	seg1	blasthit	EPI_ISL_99270	A/mallard/Alberta/160/2007	H4N6	2007-08-22	mallard	anseriformes	red2
blasthit|EPI_ISL_94284|A/northern_shoveler/California/9140/2008|A_/_H1N9|2008-11-19	seg1	blasthit	EPI_ISL_94284	A/northern_shoveler/California/9140/2008	H1N9	2008-11-19	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_20033|A/bufflehead/California/HKWF205/2007|A_/_H4N8|2007-10-28	seg1	blasthit	EPI_ISL_20033	A/bufflehead/California/HKWF205/2007	H4N8	2007-10-28	bufflehead	anseriformes	red2
blasthit|EPI_ISL_141325|A/mallard/Minnesota/AI06-1003/2006|A_/_H2N5|2006-07-02	seg1	blasthit	EPI_ISL_141325	A/mallard/Minnesota/AI06-1003/2006	H2N5	2006-07-02	mallard	anseriformes	red2
blasthit|EPI_ISL_95453|A/American_black_duck/Illinois/3854/2009|A_/_H11N9|2009-11-15	seg1	blasthit	EPI_ISL_95453	A/American_black_duck/Illinois/3854/2009	H11N9	2009-11-15	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_94300|A/mallard/California/8457/2008|A_/_H6N2|2008-10-22	seg1	blasthit	EPI_ISL_94300	A/mallard/California/8457/2008	H6N2	2008-10-22	mallard	anseriformes	red2
blasthit|EPI_ISL_141143|A/blue-winged_teal/North_Dakota/Sg-00740/2008|A_/_H3N8|2008-09-07	seg1	blasthit	EPI_ISL_141143	A/blue-winged_teal/North_Dakota/Sg-00740/2008	H3N8	2008-09-07	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141818|A/northern_pintail/Interior_Alaska/10BM11380R0/2010|A_/_H10N6|2010-07-02	seg1	blasthit	EPI_ISL_141818	A/northern_pintail/Interior_Alaska/10BM11380R0/2010	H10N6	2010-07-02	northern_pintail	anseriformes	red2
blasthit|EPI_ISL_82535|A/western_grebe/Washington/20569-004/2007|A_/_H1N2|2007-11-26	seg1	blasthit	EPI_ISL_82535	A/western_grebe/Washington/20569-004/2007	H1N2	2007-11-26	western_grebe	other/unknown avian	gray
blasthit|EPI_ISL_141641|A/northern_pintail/Interior_Alaska/10BM09015R0/2010|A_/_H7N6|2010-07-02	seg1	blasthit	EPI_ISL_141641	A/northern_pintail/Interior_Alaska/10BM09015R0/2010	H7N6	2010-07-02	northern_pintail	anseriformes	red2
blasthit|EPI_ISL_137904|A/mallard/Alberta/569/2008|A_/_H1N1|2008-08-08	seg1	blasthit	EPI_ISL_137904	A/mallard/Alberta/569/2008	H1N1	2008-08-08	mallard	anseriformes	red2
blasthit|EPI_ISL_134957|A/blue-winged_teal/Wisconsin/10OS3092/2010|A_/_H3N6|2010-10-03	seg1	blasthit	EPI_ISL_134957	A/blue-winged_teal/Wisconsin/10OS3092/2010	H3N6	2010-10-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_134902|A/American_green-winged_teal/Wisconsin/10OS3093/2010|A|2010-10-03	seg1	blasthit	EPI_ISL_134902	A/American_green-winged_teal/Wisconsin/10OS3093/2010	A	2010-10-03	American_green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_134893|A/mallard/Illinois/10OS3245/2010|A|2010-10-29	seg1	blasthit	EPI_ISL_134893	A/mallard/Illinois/10OS3245/2010	A	2010-10-29	mallard	anseriformes	red2
blasthit|EPI_ISL_94291|A/mallard/California/11100/2008|A_/_H11N2|2008-12-06	seg1	blasthit	EPI_ISL_94291	A/mallard/California/11100/2008	H11N2	2008-12-06	mallard	anseriformes	red2
blasthit|EPI_ISL_84952|A/blue-winged_teal/Texas/Sg-00157/2007|A_/_H4N6|2007-09-15	seg1	blasthit	EPI_ISL_84952	A/blue-winged_teal/Texas/Sg-00157/2007	H4N6	2007-09-15	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_29887|A/northern_pintail/California/44249-053/2006|A_/_H5N2|2006-10-21	seg1	blasthit	EPI_ISL_29887	A/northern_pintail/California/44249-053/2006	H5N2	2006-10-21	northern_pintail	anseriformes	red2
blasthit|EPI_ISL_141234|A/blue-winged_teal/Texas/AI09-4463/2009|A_/_H4N8|2009-09-20	seg1	blasthit	EPI_ISL_141234	A/blue-winged_teal/Texas/AI09-4463/2009	H4N8	2009-09-20	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_94232|A/mallard/California/8212/2008|A_/_H6N1|2008-10-18	seg1	blasthit	EPI_ISL_94232	A/mallard/California/8212/2008	H6N1	2008-10-18	mallard	anseriformes	red2
blasthit|EPI_ISL_79784|A/northern_pintail/California/469993/2006|A_/_H5N2|2006-07-02	seg1	blasthit	EPI_ISL_79784	A/northern_pintail/California/469993/2006	H5N2	2006-07-02	northern_pintail	anseriformes	red2
blasthit|EPI_ISL_158468|A/northern_pintail/Wisconsin/11OS3299/2011|A_/_H4N6|2011-10-01	seg1	blasthit	EPI_ISL_158468	A/northern_pintail/Wisconsin/11OS3299/2011	H4N6	2011-10-01	northern_pintail	anseriformes	red2
blasthit|EPI_ISL_137630|A/blue-winged_teal/Nova_Scotia/00296/2010|A|2010-09-20	seg1	blasthit	EPI_ISL_137630	A/blue-winged_teal/Nova_Scotia/00296/2010	A	2010-09-20	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_134977|A/mallard/Wisconsin/10OS2945/2010|A|2010-10-03	seg1	blasthit	EPI_ISL_134977	A/mallard/Wisconsin/10OS2945/2010	A	2010-10-03	mallard	anseriformes	red2
blasthit|EPI_ISL_134961|A/mallard/Wisconsin/10OS3169/2010|A_/_H4N9|2010-10-29	seg1	blasthit	EPI_ISL_134961	A/mallard/Wisconsin/10OS3169/2010	H4N9	2010-10-29	mallard	anseriformes	red2
query|EPI_ISL_123259|A/harbor_seal/Massachusetts/1/2011|A_/_H3N8|2011-09-29	seg2	query	EPI_ISL_123259	A/harbor_seal/Massachusetts/1/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_166491|A/harbor_seal/New_Hampshire/179629/2011|A_/_H3N8|2011-09-29	seg2	blasthit	EPI_ISL_166491	A/harbor_seal/New_Hampshire/179629/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_131756|A/American_black_duck/New_Brunswick/03552/2009|A_/_H4N6|2009-09-11	seg2	blasthit	EPI_ISL_131756	A/American_black_duck/New_Brunswick/03552/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131754|A/American_black_duck/New_Brunswick/03511/2009|A_/_H4N6|2009-09-10	seg2	blasthit	EPI_ISL_131754	A/American_black_duck/New_Brunswick/03511/2009	H4N6	2009-09-10	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131753|A/American_black_duck/New_Brunswick/03553/2009|A_/_H4N6|2009-09-11	seg2	blasthit	EPI_ISL_131753	A/American_black_duck/New_Brunswick/03553/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_220050|A/blue-winged_teal/Texas/AI10-3844/2010|A_/_H4N6|2010-09-18	seg2	blasthit	EPI_ISL_220050	A/blue-winged_teal/Texas/AI10-3844/2010	H4N6	2010-09-18	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_220044|A/blue-winged_teal/Louisiana/AI10-3640/2010|A_/_H4N6|2010-09-12	seg2	blasthit	EPI_ISL_220044	A/blue-winged_teal/Louisiana/AI10-3640/2010	H4N6	2010-09-12	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75687|A/blue-winged_teal/Minnesota/Sg-00038/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75687	A/blue-winged_teal/Minnesota/Sg-00038/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75677|A/blue-winged_teal/Minnesota/Sg-00028/2007|A_/_H4N6|2007-08-02	seg2	blasthit	EPI_ISL_75677	A/blue-winged_teal/Minnesota/Sg-00028/2007	H4N6	2007-08-02	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_139401|A/Canada_goose/Alaska/44308-044/2007|A_/_H4N6|2007-05-19	seg2	blasthit	EPI_ISL_139401	A/Canada_goose/Alaska/44308-044/2007	H4N6	2007-05-19	Canada_goose	anseriformes	red2
blasthit|EPI_ISL_84960|A/mallard/Minnesota/Sg-00198/2007|A_/_H11N9|2007-09-22	seg2	blasthit	EPI_ISL_84960	A/mallard/Minnesota/Sg-00198/2007	H11N9	2007-09-22	mallard	anseriformes	red2
blasthit|EPI_ISL_75715|A/mallard/Minnesota/Sg-00060/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75715	A/mallard/Minnesota/Sg-00060/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75708|A/mallard/Minnesota/Sg-00052/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75708	A/mallard/Minnesota/Sg-00052/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75699|A/blue-winged_teal/Texas/Sg-00081/2007|A_/_H4N6|2007-09-15	seg2	blasthit	EPI_ISL_75699	A/blue-winged_teal/Texas/Sg-00081/2007	H4N6	2007-09-15	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75692|A/blue-winged_teal/Minnesota/Sg-00043/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75692	A/blue-winged_teal/Minnesota/Sg-00043/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75688|A/blue-winged_teal/Minnesota/Sg-00039/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75688	A/blue-winged_teal/Minnesota/Sg-00039/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75684|A/blue-winged_teal/Minnesota/Sg-00035/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75684	A/blue-winged_teal/Minnesota/Sg-00035/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75680|A/blue-winged_teal/Minnesota/Sg-00031/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75680	A/blue-winged_teal/Minnesota/Sg-00031/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75679|A/blue-winged_teal/Minnesota/Sg-00030/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75679	A/blue-winged_teal/Minnesota/Sg-00030/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_63341|A/American_green-winged_teal/Manitoba/23884/2007|A_/_H4N6|2007-08-21	seg2	blasthit	EPI_ISL_63341	A/American_green-winged_teal/Manitoba/23884/2007	H4N6	2007-08-21	American_green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_84986|A/mallard/Minnesota/Sg-00177/2007|A_/_H11N9|2007-09-16	seg2	blasthit	EPI_ISL_84986	A/mallard/Minnesota/Sg-00177/2007	H11N9	2007-09-16	mallard	anseriformes	red2
blasthit|EPI_ISL_84951|A/blue-winged_teal/Texas/Sg-00155/2007|A_/_H4N8|2007-09-15	seg2	blasthit	EPI_ISL_84951	A/blue-winged_teal/Texas/Sg-00155/2007	H4N8	2007-09-15	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75716|A/mallard/Minnesota/Sg-00061/2007|A_/_H3N8|2007-08-03	seg2	blasthit	EPI_ISL_75716	A/mallard/Minnesota/Sg-00061/2007	H3N8	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75709|A/mallard/Minnesota/Sg-00053/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75709	A/mallard/Minnesota/Sg-00053/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75685|A/blue-winged_teal/Minnesota/Sg-00036/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75685	A/blue-winged_teal/Minnesota/Sg-00036/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75683|A/blue-winged_teal/Minnesota/Sg-00034/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75683	A/blue-winged_teal/Minnesota/Sg-00034/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75706|A/mallard/Minnesota/Sg-00050/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75706	A/mallard/Minnesota/Sg-00050/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75705|A/mallard/Minnesota/Sg-00049/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75705	A/mallard/Minnesota/Sg-00049/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75690|A/blue-winged_teal/Minnesota/Sg-00041/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75690	A/blue-winged_teal/Minnesota/Sg-00041/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75682|A/blue-winged_teal/Minnesota/Sg-00033/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75682	A/blue-winged_teal/Minnesota/Sg-00033/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_75681|A/blue-winged_teal/Minnesota/Sg-00032/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_75681	A/blue-winged_teal/Minnesota/Sg-00032/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_84981|A/blue-winged_teal/Texas/Sg-00206/2007|A_/_H4N6|2007-09-15	seg2	blasthit	EPI_ISL_84981	A/blue-winged_teal/Texas/Sg-00206/2007	H4N6	2007-09-15	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_84964|A/blue-winged_teal/Texas/Sg-00207/2007|A_/_H4N6|2007-09-15	seg2	blasthit	EPI_ISL_84964	A/blue-winged_teal/Texas/Sg-00207/2007	H4N6	2007-09-15	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_83530|A/mallard/Washington/44338-052/2007|A_/_H3N1|2007-09-12	seg2	blasthit	EPI_ISL_83530	A/mallard/Washington/44338-052/2007	H3N1	2007-09-12	mallard	anseriformes	red2
blasthit|EPI_ISL_75695|A/blue-winged_teal/Texas/Sg-00077/2007|A_/_H4N6|2007-09-15	seg2	blasthit	EPI_ISL_75695	A/blue-winged_teal/Texas/Sg-00077/2007	H4N6	2007-09-15	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_63522|A/mallard_duck/Minnesota/Sg-00101/2007|A_/_H10N3|2007-09-14	seg2	blasthit	EPI_ISL_63522	A/mallard_duck/Minnesota/Sg-00101/2007	H10N3	2007-09-14	mallard_duck	anseriformes	red2
blasthit|EPI_ISL_22648|A/blue-winged_teal/Minnesota/Sg-00028/2007|A_/_H4N6|2007-08-02	seg2	blasthit	EPI_ISL_22648	A/blue-winged_teal/Minnesota/Sg-00028/2007	H4N6	2007-08-02	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_20011|A/blue-winged_teal/Minnesota/Sg-00102/2007|A_/_H4N6|2007-09-15	seg2	blasthit	EPI_ISL_20011	A/blue-winged_teal/Minnesota/Sg-00102/2007	H4N6	2007-09-15	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_19959|A/blue-winged_teal/Minnesota/Sg-00038/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_19959	A/blue-winged_teal/Minnesota/Sg-00038/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141102|A/mallard/Minnesota/Sg-00697/2008|A_/_H4N6|2008-08-01	seg2	blasthit	EPI_ISL_141102	A/mallard/Minnesota/Sg-00697/2008	H4N6	2008-08-01	mallard	anseriformes	red2
blasthit|EPI_ISL_84975|A/blue-winged_teal/Texas/Sg-00158/2007|A_/_H4N6|2007-09-15	seg2	blasthit	EPI_ISL_84975	A/blue-winged_teal/Texas/Sg-00158/2007	H4N6	2007-09-15	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_33456|A/blue-winged_teal/North_Dakota/Sg-00713/2008|A_/_H4N6|2008-09-08	seg2	blasthit	EPI_ISL_33456	A/blue-winged_teal/North_Dakota/Sg-00713/2008	H4N6	2008-09-08	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_33442|A/mallard/Minnesota/Sg-00695/2008|A_/_H4N6|2008-08-01	seg2	blasthit	EPI_ISL_33442	A/mallard/Minnesota/Sg-00695/2008	H4N6	2008-08-01	mallard	anseriformes	red2
blasthit|EPI_ISL_63099|A/mallard/Minnesota/Sg-00694/2008|A_/_H4N6|2008-08-01	seg2	blasthit	EPI_ISL_63099	A/mallard/Minnesota/Sg-00694/2008	H4N6	2008-08-01	mallard	anseriformes	red2
blasthit|EPI_ISL_63098|A/mallard/Minnesota/Sg-00693/2008|A_/_H4N6|2008-08-01	seg2	blasthit	EPI_ISL_63098	A/mallard/Minnesota/Sg-00693/2008	H4N6	2008-08-01	mallard	anseriformes	red2
blasthit|EPI_ISL_29361|A/mallard/Minnesota/Sg-00569/2008|A_/_H4N6|2008-08-01	seg2	blasthit	EPI_ISL_29361	A/mallard/Minnesota/Sg-00569/2008	H4N6	2008-08-01	mallard	anseriformes	red2
blasthit|EPI_ISL_22649|A/blue-winged_teal/Minnesota/Sg-00030/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_22649	A/blue-winged_teal/Minnesota/Sg-00030/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_33265|A/mallard/Minnesota/Sg-00198/2007|A_/_H11N9|2007-09-22	seg2	blasthit	EPI_ISL_33265	A/mallard/Minnesota/Sg-00198/2007	H11N9	2007-09-22	mallard	anseriformes	red2
blasthit|EPI_ISL_19964|A/blue-winged_teal/Minnesota/Sg-00043/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_19964	A/blue-winged_teal/Minnesota/Sg-00043/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_19956|A/blue-winged_teal/Minnesota/Sg-00035/2007|A_/_H4N6|2007-08-03	seg2	blasthit	EPI_ISL_19956	A/blue-winged_teal/Minnesota/Sg-00035/2007	H4N6	2007-08-03	blue-winged_teal	anseriformes	red2
query|EPI_ISL_123259|A/harbor_seal/Massachusetts/1/2011|A_/_H3N8|2011-09-29	seg3	query	EPI_ISL_123259	A/harbor_seal/Massachusetts/1/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_166491|A/harbor_seal/New_Hampshire/179629/2011|A_/_H3N8|2011-09-29	seg3	blasthit	EPI_ISL_166491	A/harbor_seal/New_Hampshire/179629/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_131756|A/American_black_duck/New_Brunswick/03552/2009|A_/_H4N6|2009-09-11	seg3	blasthit	EPI_ISL_131756	A/American_black_duck/New_Brunswick/03552/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131754|A/American_black_duck/New_Brunswick/03511/2009|A_/_H4N6|2009-09-10	seg3	blasthit	EPI_ISL_131754	A/American_black_duck/New_Brunswick/03511/2009	H4N6	2009-09-10	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131753|A/American_black_duck/New_Brunswick/03553/2009|A_/_H4N6|2009-09-11	seg3	blasthit	EPI_ISL_131753	A/American_black_duck/New_Brunswick/03553/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131708|A/American_black_duck/New_Brunswick/03556/2009|A_/_H4N6|2009-09-11	seg3	blasthit	EPI_ISL_131708	A/American_black_duck/New_Brunswick/03556/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_134981|A/mallard/Wisconsin/10OS3067/2010|A_/_H4N2|2010-10-03	seg3	blasthit	EPI_ISL_134981	A/mallard/Wisconsin/10OS3067/2010	H4N2	2010-10-03	mallard	anseriformes	red2
blasthit|EPI_ISL_329314|A/pekin_duck/Mexico/CPA-5009/2007|A_/_H6N2|2007-11-04	seg3	blasthit	EPI_ISL_329314	A/pekin_duck/Mexico/CPA-5009/2007	H6N2	2007-11-04	pekin_duck	anseriformes	red2
blasthit|EPI_ISL_99286|A/mallard/Alberta/27/2007|A_/_H3N8|2007-08-18	seg3	blasthit	EPI_ISL_99286	A/mallard/Alberta/27/2007	H3N8	2007-08-18	mallard	anseriformes	red2
blasthit|EPI_ISL_99285|A/mallard/Alberta/28/2007|A_/_H3N8|2007-08-18	seg3	blasthit	EPI_ISL_99285	A/mallard/Alberta/28/2007	H3N8	2007-08-18	mallard	anseriformes	red2
blasthit|EPI_ISL_99284|A/mallard/Alberta/34/2007|A_/_H3N8|2007-08-18	seg3	blasthit	EPI_ISL_99284	A/mallard/Alberta/34/2007	H3N8	2007-08-18	mallard	anseriformes	red2
blasthit|EPI_ISL_85184|A/northern_shoveler/Illinois/08OS3331/2008|A_/_H4N8|2008-11-15	seg3	blasthit	EPI_ISL_85184	A/northern_shoveler/Illinois/08OS3331/2008	H4N8	2008-11-15	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_64879|A/green-winged_teal/Alberta/11383/2005|A_/_H4N6|2005-07-31	seg3	blasthit	EPI_ISL_64879	A/green-winged_teal/Alberta/11383/2005	H4N6	2005-07-31	green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_99312|A/mallard/Alberta/66/2005|A_/_H4N6|2005-07-27	seg3	blasthit	EPI_ISL_99312	A/mallard/Alberta/66/2005	H4N6	2005-07-27	mallard	anseriformes	red2
