header	segment	source	accession	strain	subtype	date	year	location	host	colourName
blasthit|EPI_ISL_202995|A/chicken/Italy/13VIR4541-33/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202995	A/chicken/Italy/13VIR4541-33/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_203002|A/chicken/Italy/13VIR5051-1/2013|A_/_H7N7|2013-09-03	seg1	blasthit	EPI_ISL_203002	A/chicken/Italy/13VIR5051-1/2013	H7N7	03/09/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_294779|A/duck/France/160051/2016|A_/_H6N2|2016-01-21	seg1	blasthit	EPI_ISL_294779	A/duck/France/160051/2016	H6N2	21/01/2016	2016	France	anseriformes	red2
blasthit|EPI_ISL_293992|A/chicken/France/160001/2016|A_/_H5N2|2016-02-01	seg1	blasthit	EPI_ISL_293992	A/chicken/France/160001/2016	H5N2	01/02/2016	2016	France	galliformes	red3
blasthit|EPI_ISL_267417|A/mallard_duck/Netherlands/10/2013|A_/_H4N6|2013-12-04	seg1	blasthit	EPI_ISL_267417	A/mallard_duck/Netherlands/10/2013	H4N6	04/12/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_203004|A/chicken/Italy/13VIR5091/2013|A_/_H7N7|2013-09-02	seg1	blasthit	EPI_ISL_203004	A/chicken/Italy/13VIR5091/2013	H7N7	02/09/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202999|A/chicken/Italy/13VIR4541-9/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202999	A/chicken/Italy/13VIR4541-9/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_202996|A/chicken/Italy/13VIR4541-34/2013|A_/_H7N7|2013-08-13	seg1	blasthit	EPI_ISL_202996	A/chicken/Italy/13VIR4541-34/2013	H7N7	13/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_203005|A/turkey/Italy/13VIR4678-1/2013|A_/_H7N7|2013-08-21	seg1	blasthit	EPI_ISL_203005	A/turkey/Italy/13VIR4678-1/2013	H7N7	21/08/2013	2013	Italy	galliformes	red3
blasthit|EPI_ISL_230631|A/turkey/Poland/14/2013|A_/_H9N2|2013-04-24	seg1	blasthit	EPI_ISL_230631	A/turkey/Poland/14/2013	H9N2	24/04/2013	2013	Poland	galliformes	red3
blasthit|EPI_ISL_294778|A/duck/France/160056/2016|A_/_H6N2|2015-12-09	seg1	blasthit	EPI_ISL_294778	A/duck/France/160056/2016	H6N2	09/12/2015	2015	France	anseriformes	red2
blasthit|EPI_ISL_293997|A/chicken/France/160013/2016|A_/_H5N2|2015-12-29	seg1	blasthit	EPI_ISL_293997	A/chicken/France/160013/2016	H5N2	29/12/2015	2015	France	galliformes	red3
blasthit|EPI_ISL_309813|A/Chicken/Netherlands/13015884/2013|A_/_H5N3|2013-11-29	seg1	blasthit	EPI_ISL_309813	A/Chicken/Netherlands/13015884/2013	H5N3	29/11/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_213837|A/Anas_platyrhynchos/Belgium/17330cls42/2013|A_/_H5N2|2013-09-26	seg1	blasthit	EPI_ISL_213837	A/Anas_platyrhynchos/Belgium/17330cls42/2013	H5N2	26/09/2013	2013	Belgium	anseriformes	red2
blasthit|EPI_ISL_328971|A/mallard_duck/Georgia/7/2015|A_/_H6N1|2015-10-10	seg1	blasthit	EPI_ISL_328971	A/mallard_duck/Georgia/7/2015	H6N1	10/10/2015	2015	Georgia	anseriformes	red2
blasthit|EPI_ISL_224753|A/chicken/Netherlands/15007212/15|A_/_H10N7|2015-04-29	seg1	blasthit	EPI_ISL_224753	A/chicken/Netherlands/15007212/15	H10N7	29/04/2015	2015	Netherlands	galliformes	red3
blasthit|EPI_ISL_209380|A/shelduck/Yasnopolyanske/4-08-02/2011|A_/_H1N1|2011-02-08	seg1	blasthit	EPI_ISL_209380	A/shelduck/Yasnopolyanske/4-08-02/2011	H1N1	08/02/2011	2011	Yasnopolyanske	anseriformes	red2
blasthit|EPI_ISL_309814|A/Chicken/Netherlands/13016263-031-035/2013|A_/_H5N3|2013-12-10	seg1	blasthit	EPI_ISL_309814	A/Chicken/Netherlands/13016263-031-035/2013	H5N3	10/12/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_267279|A/mallard_duck/Georgia/11/2011|A_/_H1N1|2011-01-22	seg1	blasthit	EPI_ISL_267279	A/mallard_duck/Georgia/11/2011	H1N1	22/01/2011	2011	Georgia	anseriformes	red2
blasthit|EPI_ISL_230633|A/turkey/Poland/09/2014|A_/_H9N2|2014-04-18	seg1	blasthit	EPI_ISL_230633	A/turkey/Poland/09/2014	H9N2	18/04/2014	2014	Poland	galliformes	red3
blasthit|EPI_ISL_243488|A/mallard_duck/Netherlands/32/2011|A_/_H5N2|2011-10-20	seg1	blasthit	EPI_ISL_243488	A/mallard_duck/Netherlands/32/2011	H5N2	20/10/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328966|A/mallard_duck/Netherlands/41/2015|A_/_H5N1|2015-09-15	seg1	blasthit	EPI_ISL_328966	A/mallard_duck/Netherlands/41/2015	H5N1	15/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_230632|A/turkey/Poland/08/2014|A_/_H9N2|2014-04-17	seg1	blasthit	EPI_ISL_230632	A/turkey/Poland/08/2014	H9N2	17/04/2014	2014	Poland	galliformes	red3
blasthit|EPI_ISL_328955|A/mallard_duck/Netherlands/52/2015|A_/_H5N6|2015-09-16	seg1	blasthit	EPI_ISL_328955	A/mallard_duck/Netherlands/52/2015	H5N6	16/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_189692|A/mallard/Republic_of_Georgia/12/2011|A_/_H10N4|2011-02-11	seg1	blasthit	EPI_ISL_189692	A/mallard/Republic_of_Georgia/12/2011	H10N4	11/02/2011	2011	Republic_of_Georgia	anseriformes	red2
blasthit|EPI_ISL_205833|A/chicken/Scotland/532/2016|A_/_H5N1|2016-01-09	seg1	blasthit	EPI_ISL_205833	A/chicken/Scotland/532/2016	H5N1	09/01/2016	2016	Scotland	galliformes	red3
blasthit|EPI_ISL_294761|A/duck/France/150213/2015|A_/_H5N2|2015-12-01	seg1	blasthit	EPI_ISL_294761	A/duck/France/150213/2015	H5N2	01/12/2015	2015	France	anseriformes	red2
blasthit|EPI_ISL_243663|A/mallard_duck/Netherlands/30/2014|A_/_H4N6|2014-07-21	seg1	blasthit	EPI_ISL_243663	A/mallard_duck/Netherlands/30/2014	H4N6	21/07/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267256|A/mallard_duck/Netherlands/18/2014|A_/_H1N1|2014-08-27	seg1	blasthit	EPI_ISL_267256	A/mallard_duck/Netherlands/18/2014	H1N1	27/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_234918|A/chicken/France/150169a/2015|A_/_H5N1|2015-11-19	seg1	blasthit	EPI_ISL_234918	A/chicken/France/150169a/2015	H5N1	19/11/2015	2015	France	galliformes	red3
blasthit|EPI_ISL_189686|A/common_Teal/Republic_of_Georgia/1/2011|A_/_H3N8|2011-09-19	seg1	blasthit	EPI_ISL_189686	A/common_Teal/Republic_of_Georgia/1/2011	H3N8	19/09/2011	2011	Republic_of_Georgia	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|PB1|2017-02	seg2	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_328955|A/mallard_duck/Netherlands/52/2015|A_/_H5N6|2015-09-16	seg2	blasthit	EPI_ISL_328955	A/mallard_duck/Netherlands/52/2015	H5N6	16/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328966|A/mallard_duck/Netherlands/41/2015|A_/_H5N1|2015-09-15	seg2	blasthit	EPI_ISL_328966	A/mallard_duck/Netherlands/41/2015	H5N1	15/09/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243479|A/greater_white-fronted_goose/Netherlands/6/2011|A_/_H6N8|2011-12-14	seg2	blasthit	EPI_ISL_243479	A/greater_white-fronted_goose/Netherlands/6/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267292|A/white-fronted_goose/Netherlands/5/2011|A_/_H6N8|2011-12-14	seg2	blasthit	EPI_ISL_267292	A/white-fronted_goose/Netherlands/5/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243588|A/mallard_duck/Netherlands/20/2011|A_/_H6N8|2011-09-24	seg2	blasthit	EPI_ISL_243588	A/mallard_duck/Netherlands/20/2011	H6N8	24/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243513|A/Eurasian_teal/Netherlands/1/2011|A_/_H3N8|2011-10-15	seg2	blasthit	EPI_ISL_243513	A/Eurasian_teal/Netherlands/1/2011	H3N8	15/10/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243608|A/mallard_duck/Netherlands/15/2011|A_/_H6N8|2011-09-14	seg2	blasthit	EPI_ISL_243608	A/mallard_duck/Netherlands/15/2011	H6N8	14/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243659|A/mallard_duck/Netherlands/10/2012|A_/_H6N1|2012-09-05	seg2	blasthit	EPI_ISL_243659	A/mallard_duck/Netherlands/10/2012	H6N1	05/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_205135|A/wild_bird/Wuhan/WHHN16/2014|A_/_H1N1|2014-12-XX	seg2	blasthit	EPI_ISL_205135	A/wild_bird/Wuhan/WHHN16/2014	H1N1	2014-12-XX	2014	Wuhan	other/unknown avian	gray
blasthit|EPI_ISL_243461|A/mallard_duck/Netherlands/23/2012|A_/_H11N9|2012-09-27	seg2	blasthit	EPI_ISL_243461	A/mallard_duck/Netherlands/23/2012	H11N9	27/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243453|A/mallard_duck/Netherlands/31/2013|A_/_H10N7|2013-05-20	seg2	blasthit	EPI_ISL_243453	A/mallard_duck/Netherlands/31/2013	H10N7	20/05/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243384|A/mallard_duck/Netherlands/12/2012|A_/_H6N1|2012-10-18	seg2	blasthit	EPI_ISL_243384	A/mallard_duck/Netherlands/12/2012	H6N1	18/10/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243491|A/mallard_duck/Netherlands/32/2013|A_/_H10N7|2013-08-05	seg2	blasthit	EPI_ISL_243491	A/mallard_duck/Netherlands/32/2013	H10N7	05/08/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_167226|A/Seal/Sweden/SVA0546/2014_|A_/_H10N7|2014-04-16	seg2	blasthit	EPI_ISL_167226	A/Seal/Sweden/SVA0546/2014_	H10N7	16/04/2014	2014	Sweden	seal	blue2
blasthit|EPI_ISL_329052|A/black-headed_gull/Netherlands/21/2014|A_/_H11N1|2014-12-26	seg2	blasthit	EPI_ISL_329052	A/black-headed_gull/Netherlands/21/2014	H11N1	26/12/2014	2014	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_267318|A/mallard_duck/Netherlands/2/2014|A_/_H10N7|2014-02-17	seg2	blasthit	EPI_ISL_267318	A/mallard_duck/Netherlands/2/2014	H10N7	17/02/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243504|A/mallard_duck/Netherlands/1/2014|A_/_H10N7|2014-02-17	seg2	blasthit	EPI_ISL_243504	A/mallard_duck/Netherlands/1/2014	H10N7	17/02/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328992|A/mallard_duck/Netherlands/7/2015|A_/_H8N4|2015-01-03	seg2	blasthit	EPI_ISL_328992	A/mallard_duck/Netherlands/7/2015	H8N4	03/01/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_202005|A/harbor_seal/NL/PV14-221_Ts/2015|A_/_H10N7|2015-01-12	seg2	blasthit	EPI_ISL_202005	A/harbor_seal/NL/PV14-221_Ts/2015	H10N7	12/01/2015	2015	NL	seal	blue2
blasthit|EPI_ISL_328963|A/mallard_duck/Netherlands/18/2015|A_/_H7N7|2015-06-27	seg2	blasthit	EPI_ISL_328963	A/mallard_duck/Netherlands/18/2015	H7N7	27/06/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_170566|A/harbour_seal/Germany/1/2014|A_/_H10N7|2014-10-07	seg2	blasthit	EPI_ISL_170566	A/harbour_seal/Germany/1/2014	H10N7	07/10/2014	2014	Germany	seal	blue2
blasthit|EPI_ISL_166971|A/harbour_seal/Germany/1/2014|A_/_H10N7|2014-10-07	seg2	blasthit	EPI_ISL_166971	A/harbour_seal/Germany/1/2014	H10N7	07/10/2014	2014	Germany	seal	blue2
blasthit|EPI_ISL_267256|A/mallard_duck/Netherlands/18/2014|A_/_H1N1|2014-08-27	seg2	blasthit	EPI_ISL_267256	A/mallard_duck/Netherlands/18/2014	H1N1	27/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243607|A/mallard_duck/Netherlands/24/2013|A_/_H4N6|2013-09-16	seg2	blasthit	EPI_ISL_243607	A/mallard_duck/Netherlands/24/2013	H4N6	16/09/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_294761|A/duck/France/150213/2015|A_/_H5N2|2015-12-01	seg2	blasthit	EPI_ISL_294761	A/duck/France/150213/2015	H5N2	01/12/2015	2015	France	anseriformes	red2
blasthit|EPI_ISL_244551|A/Anser_fabalis/China/Anhui/L144/2014|A_/_H6N1|2014-12-22	seg2	blasthit	EPI_ISL_244551	A/Anser_fabalis/China/Anhui/L144/2014	H6N1	22/12/2014	2014	China	anseriformes	red2
blasthit|EPI_ISL_243522|A/mallard_duck/Netherlands/13/2012|A_/_H3N8|2012-10-01	seg2	blasthit	EPI_ISL_243522	A/mallard_duck/Netherlands/13/2012	H3N8	01/10/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243393|A/mallard_duck/Netherlands/6/2015|A_/_H10N7|2015-03-04	seg2	blasthit	EPI_ISL_243393	A/mallard_duck/Netherlands/6/2015	H10N7	04/03/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_294758|A/mallard/France/150018/2015|A_/_H5N1|2015-02-19	seg2	blasthit	EPI_ISL_294758	A/mallard/France/150018/2015	H5N1	19/02/2015	2015	France	anseriformes	red2
blasthit|EPI_ISL_266407|A/Anseriformes/Anhui/S3/2014|A_/_H1N1|2014-12-24	seg2	blasthit	EPI_ISL_266407	A/Anseriformes/Anhui/S3/2014	H1N1	24/12/2014	2014	Anhui	anseriformes	red2
blasthit|EPI_ISL_328976|A/mallard_duck/Georgia/10/2016|A_/_H7N7|2016-09-30	seg2	blasthit	EPI_ISL_328976	A/mallard_duck/Georgia/10/2016	H7N7	30/09/2016	2016	Georgia	anseriformes	red2
blasthit|EPI_ISL_329034|A/mallard_duck/Netherlands/23/2014|A_/_H1N1|2014-09-15	seg2	blasthit	EPI_ISL_329034	A/mallard_duck/Netherlands/23/2014	H1N1	15/09/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267317|A/mallard_duck/Netherlands/26/2014|A_/_H1N1|2014-09-15	seg2	blasthit	EPI_ISL_267317	A/mallard_duck/Netherlands/26/2014	H1N1	15/09/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_250237|A/mallard/Chany/355/2016|A_/_H1N1|2016-10-10	seg2	blasthit	EPI_ISL_250237	A/mallard/Chany/355/2016	H1N1	10/10/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_250236|A/gadwall/Chany/315/2016|A_/_H1N1|2016-10-10	seg2	blasthit	EPI_ISL_250236	A/gadwall/Chany/315/2016	H1N1	10/10/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_250235|A/mallard/Chany/313/2016|A_/_H1N1|2016-10-10	seg2	blasthit	EPI_ISL_250235	A/mallard/Chany/313/2016	H1N1	10/10/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_250238|A/gadwall/Chany/97/2016|A_/_H6N8|2016-09-10	seg2	blasthit	EPI_ISL_250238	A/gadwall/Chany/97/2016	H6N8	10/09/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_329647|A/chicken/France/160013g/2016|A_/_H5N2|2016-01-01	seg2	blasthit	EPI_ISL_329647	A/chicken/France/160013g/2016	H5N2	01/01/2016	2016	France	galliformes	red3
blasthit|EPI_ISL_243582|A/bewicks_swan/Netherlands/8/2009|A_/_H6N8|2009-01-04	seg2	blasthit	EPI_ISL_243582	A/bewicks_swan/Netherlands/8/2009	H6N8	04/01/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_131209|A/wild_duck/Korea/SH5-60/2008|A_/_H4N6|2008-10-XX	seg2	blasthit	EPI_ISL_131209	A/wild_duck/Korea/SH5-60/2008	H4N6	2008-10-XX	2008	Korea	anseriformes	red2
blasthit|EPI_ISL_230631|A/turkey/Poland/14/2013|A_/_H9N2|2013-04-24	seg2	blasthit	EPI_ISL_230631	A/turkey/Poland/14/2013	H9N2	24/04/2013	2013	Poland	galliformes	red3
blasthit|EPI_ISL_267392|A/mallard_duck/Netherlands/13/2009|A_/_H3N3|2009-09-09	seg2	blasthit	EPI_ISL_267392	A/mallard_duck/Netherlands/13/2009	H3N3	09/09/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_329027|A/mallard_duck/Netherlands/6/2009|A_/_H7N7|2009-02-02	seg2	blasthit	EPI_ISL_329027	A/mallard_duck/Netherlands/6/2009	H7N7	02/02/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328985|A/ruddy_turnstone/Netherlands/1/2009|A_/_H10N4|2009-10-22	seg2	blasthit	EPI_ISL_328985	A/ruddy_turnstone/Netherlands/1/2009	H10N4	22/10/2009	2009	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_328941|A/ruddy_turnstone/Netherlands/2/2009|A_/_H10N4|2009-10-22	seg2	blasthit	EPI_ISL_328941	A/ruddy_turnstone/Netherlands/2/2009	H10N4	22/10/2009	2009	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_327464|A/Duck/Mongolia/751/2017|A_/_H7N3|2017-09-XX	seg2	blasthit	EPI_ISL_327464	A/Duck/Mongolia/751/2017	H7N3	2017-09-XX	2017	Mongolia	anseriformes	red2
blasthit|EPI_ISL_243466|A/mallard_duck/Netherlands/7/2009|A_/_H7N7|2009-02-02	seg2	blasthit	EPI_ISL_243466	A/mallard_duck/Netherlands/7/2009	H7N7	02/02/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243558|A/mallard_duck/Netherlands/12/2009|A_/_H11N9|2009-09-02	seg2	blasthit	EPI_ISL_243558	A/mallard_duck/Netherlands/12/2009	H11N9	02/09/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243590|A/mallard_duck/Netherlands/2/2009|A_/_H7N7|2009-01-09	seg2	blasthit	EPI_ISL_243590	A/mallard_duck/Netherlands/2/2009	H7N7	09/01/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_329032|A/mallard_duck/Netherlands/4/2009|A_/_H7N7|2009-01-17	seg2	blasthit	EPI_ISL_329032	A/mallard_duck/Netherlands/4/2009	H7N7	17/01/2009	2009	Netherlands	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|PA|2017-02	seg3	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_267186|A/mallard_duck/Netherlands/8/2014|A_/_H7N5|2014-10-28	seg3	blasthit	EPI_ISL_267186	A/mallard_duck/Netherlands/8/2014	H7N5	28/10/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243654|A/greater_white-fronted_goose/Netherlands/1/2012|A_/_H1N1|2012-11-20	seg3	blasthit	EPI_ISL_243654	A/greater_white-fronted_goose/Netherlands/1/2012	H1N1	20/11/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267342|A/mallard_duck/Netherlands/2/2013|A_/_H3N6|2013-09-10	seg3	blasthit	EPI_ISL_267342	A/mallard_duck/Netherlands/2/2013	H3N6	10/09/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309814|A/Chicken/Netherlands/13016263-031-035/2013|A_/_H5N3|2013-12-10	seg3	blasthit	EPI_ISL_309814	A/Chicken/Netherlands/13016263-031-035/2013	H5N3	10/12/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_309813|A/Chicken/Netherlands/13015884/2013|A_/_H5N3|2013-11-29	seg3	blasthit	EPI_ISL_309813	A/Chicken/Netherlands/13015884/2013	H5N3	29/11/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_294001|A/duck/Mongolia/17/2011|A_/_H4N3|2011-08-26	seg3	blasthit	EPI_ISL_294001	A/duck/Mongolia/17/2011	H4N3	26/08/2011	2011	Mongolia	anseriformes	red2
blasthit|EPI_ISL_151927|A/wild_waterfowl/Dongting/C2383/2012|A_/_H1N2|2012-01-10	seg3	blasthit	EPI_ISL_151927	A/wild_waterfowl/Dongting/C2383/2012	H1N2	10/01/2012	2012	Dongting	other/unknown avian	gray
blasthit|EPI_ISL_243439|A/mallard_duck/Netherlands/13/2013|A_/_H7N7|2013-12-10	seg3	blasthit	EPI_ISL_243439	A/mallard_duck/Netherlands/13/2013	H7N7	10/12/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_328998|A/mallard_duck/Netherlands/11/2013|A_/_H7N7|2013-12-09	seg3	blasthit	EPI_ISL_328998	A/mallard_duck/Netherlands/11/2013	H7N7	09/12/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267318|A/mallard_duck/Netherlands/2/2014|A_/_H10N7|2014-02-17	seg3	blasthit	EPI_ISL_267318	A/mallard_duck/Netherlands/2/2014	H10N7	17/02/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243504|A/mallard_duck/Netherlands/1/2014|A_/_H10N7|2014-02-17	seg3	blasthit	EPI_ISL_243504	A/mallard_duck/Netherlands/1/2014	H10N7	17/02/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_163619|A/duck/Guangxi/125D17/2012|A_/_H4N2|2012-09-07	seg3	blasthit	EPI_ISL_163619	A/duck/Guangxi/125D17/2012	H4N2	07/09/2012	2012	Guangxi	anseriformes	red2
blasthit|EPI_ISL_243607|A/mallard_duck/Netherlands/24/2013|A_/_H4N6|2013-09-16	seg3	blasthit	EPI_ISL_243607	A/mallard_duck/Netherlands/24/2013	H4N6	16/09/2013	2013	Netherlands	anseriformes	red2
